country_code,year,cars_per_1000,source_note
UK,1909,2,DfT VEH0103 / Mitchell
UK,1920,8,DfT VEH0103
UK,1930,30,DfT VEH0103
UK,1938,42,DfT VEH0103
UK,1950,45,DfT VEH0103
UK,1955,67,DfT VEH0103
UK,1960,108,DfT VEH0103
UK,1965,157,DfT VEH0103
UK,1970,213,DfT VEH0103
UK,1975,248,DfT VEH0103
UK,1980,277,DfT VEH0103
UK,1985,307,DfT VEH0103
UK,1990,361,DfT VEH0103
UK,1995,380,DfT VEH0103
UK,2000,410,DfT VEH0103
UK,2005,455,DfT VEH0103
UK,2010,460,DfT VEH0103
UK,2015,471,DfT VEH0103
UK,2020,473,DfT VEH0103
NL,1927,5,CBS StatLine historical
NL,1935,8,CBS StatLine historical
NL,1950,15,CBS StatLine
NL,1955,25,CBS StatLine
NL,1960,45,CBS StatLine
NL,1965,100,CBS StatLine
NL,1970,175,CBS StatLine
NL,1975,250,CBS StatLine
NL,1980,310,CBS StatLine
NL,1985,340,CBS StatLine
NL,1990,370,CBS StatLine
NL,1995,385,CBS StatLine
NL,2000,410,CBS StatLine
NL,2005,430,CBS StatLine
NL,2010,455,CBS StatLine
NL,2015,470,CBS StatLine
NL,2020,490,CBS StatLine
DE,1950,10,KBA / Merki
DE,1955,30,KBA
DE,1960,80,KBA
DE,1965,150,KBA
DE,1970,230,KBA
DE,1975,300,KBA
DE,1980,380,KBA
DE,1985,420,KBA
DE,1990,460,KBA
DE,1995,500,KBA (unified)
DE,2000,530,KBA
DE,2005,550,KBA
DE,2010,510,KBA
DE,2015,540,KBA
DE,2020,570,KBA
FR,1950,10,INSEE / CCFA
FR,1955,30,INSEE
FR,1960,80,INSEE
FR,1965,150,INSEE
FR,1970,240,INSEE
FR,1975,300,INSEE
FR,1980,350,INSEE
FR,1985,390,INSEE
FR,1990,415,INSEE
FR,1995,440,INSEE
FR,2000,470,INSEE
FR,2005,495,INSEE
FR,2010,500,INSEE
FR,2015,480,INSEE
FR,2020,480,INSEE
US,1910,5,FHWA
US,1920,50,FHWA
US,1930,170,FHWA
US,1940,175,FHWA
US,1950,240,FHWA
US,1960,340,FHWA
US,1970,430,FHWA
US,1980,535,FHWA
US,1990,600,FHWA
US,2000,680,FHWA / Ward's
US,2010,670,FHWA
US,2020,800,FHWA
DK,1950,25,Statistics Denmark
DK,1960,70,Statistics Denmark
DK,1970,210,Statistics Denmark
DK,1980,280,Statistics Denmark
DK,1990,310,Statistics Denmark
DK,2000,345,Statistics Denmark
DK,2010,390,Statistics Denmark
DK,2020,440,Statistics Denmark
SE,1950,25,SCB
SE,1960,100,SCB
SE,1970,280,SCB
SE,1980,345,SCB
SE,1990,400,SCB
SE,2000,450,SCB
SE,2010,460,SCB
SE,2020,475,SCB
AT,1950,10,Statistik Austria
AT,1960,60,Statistik Austria
AT,1970,170,Statistik Austria
AT,1980,300,Statistik Austria
AT,1990,390,Statistik Austria
AT,2000,500,Statistik Austria
AT,2010,530,Statistik Austria
AT,2020,560,Statistik Austria
ES,1960,10,DGT
ES,1970,60,DGT
ES,1980,180,DGT
ES,1990,310,DGT
ES,2000,430,DGT
ES,2010,480,DGT
ES,2020,520,DGT
JP,1960,10,JAMA
JP,1970,85,JAMA
JP,1980,200,JAMA
JP,1990,280,JAMA
JP,2000,390,JAMA
JP,2010,455,JAMA
JP,2020,490,JAMA
